bmv-api  | Starting BuildMyVersion API on port 8000...
bmv-api  | INFO  | bmv.Startup | 2026-08-07 18:29:54.736 | Startup:190 | schema_ready db=postgresql://db/buildmyversion elapsed_ms=96 versions={'phase7a': 'phase7a.1', 'phase7b': 'phase7b.1', 'phase7c': 'phase7c.1', 'phase7d': 'phase7d.1', 'phase7e': 'phase7e.1', 'phase7f': 'phase7f.2', 'commercial': 'commercial.1'}
bmv-api  | INFO  | bmv.AdminBootstrap | 2026-08-07 18:29:54.799 | AdminBootstrap:58 | Updated bootstrap admin user roy.rizkallah@hotmail.com (is_admin/password sync)
bmv-api  | INFO  | bmv.Boot | 2026-08-07 18:29:54.799 | Boot:122 | SEED_DEMO=false — skipping PlateSync demo seed
bmv-api  | INFO  | bmv.Boot | 2026-08-07 18:29:54.799 | Boot:131 | PREVIEW_TEMPLATE_DIR=/app/backend/preview-template exists=True
bmv-api  | INFO  | bmv.Boot | 2026-08-07 18:29:54.799 | Boot:142 | AI_PROVIDER=openrouter LOG_LEVEL=debug
bmv-api  | INFO  | bmv.Boot | 2026-08-07 18:29:54.866 | Boot:163 | node=v22.14.0 npm=10.9.2
bmv-api  | INFO  | bmv.Boot | 2026-08-07 18:29:54.866 | Boot:164 | INTERNAL_BASE_URL=http://127.0.0.1:8000
bmv-api  | INFO:     Started server process [1]
bmv-api  | INFO:     Waiting for application startup.
bmv-api  | INFO:     Application startup complete.
bmv-api  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
bmv-api  | INFO:     172.64.66.1:36890 - "OPTIONS /api/auth/me HTTP/1.1" 200 OK
bmv-api  | INFO:     172.64.66.1:56733 - "OPTIONS /api/auth/me HTTP/1.1" 200 OK
bmv-api  | INFO:     172.64.66.1:36890 - "GET /api/auth/me HTTP/1.1" 200 OK
bmv-api  | INFO:     172.64.66.1:36890 - "GET /api/auth/me HTTP/1.1" 200 OK
bmv-api  | INFO:     172.64.66.1:56561 - "GET /api/preview-apps/145/?v=1&m=1786129494907 HTTP/1.1" 200 OK
bmv-api  | INFO:     172.64.66.1:56561 - "GET /api/preview-apps/145/assets/index-PCFhQzMF.js HTTP/1.1" 200 OK
bmv-api  | INFO:     172.64.66.1:25001 - "GET /api/preview-apps/145/assets/index-KQNDexat.css HTTP/1.1" 200 OK
